Comments,Date,Disposition,Location,Occured,Reported,UCPDI,Outcome
Underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Liquor Law Violation,Referred,5700 S. Stony Island (5700 Stony Island RH),2019-01-27,1/27/19 1:48 AM,19-00087,referred
Underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Liquor Law Violation,Referred,6031 S. Ellis (Granville-Grossman RH),2019-01-27,1/27/19 2:19 AM,19-00088,referred
An individual reports losing a cell phone while in the building,Lost Property,Closed,5811 S. Ellis (Cobb Hall),2019-01-27,1/27/19 2:53 PM,19-00089,closed
CPD and UCPD officers responded to a call of shots fired off campus / Several shell casings were found / No injuries or property damage was reported / CPD case JC131686,Fire,CPD,940 E. 41st St.  (Public Way),2019-01-27,1/27/19 5:21 PM,19-00090,cpd
"Three unknown suspects, armed with handguns, took property from a victim on the street off campus / Suspects fled the scene in the victim's vehicle / CPD case JC131840",Information,CPD,5201 S. University (Public Way),2019-01-27,1/27/19 7:53 PM,19-00091,cpd
An individual reported losing UC ID card,Lost Property,Closed,5900 S. Ellis,2019-01-28,1/28/19 9:58 AM,19-00093,closed
Information re. a social media message,Information,Closed,1307 E. 60th St. (Keller Center),2019-01-27,1/28/19 1:56 PM,19-00094,closed
Unknown person scrawled graffiti on wall of stall in men's basement restroom,Damage to Property,Open,5835 S. Greenwood (Stuart Hall),2019-01-29,1/29/19 11:36 AM,19-00095,open
A motorist backed into a pole damaging an electrical box / 2019 MVA 00022,Traffic Incident,Closed,5721 S. Maryland,2019-01-29,1/29/19 10:08 AM,19-00096,closed
Credit/debit cards and cash taken from wallet left in unsecured locker in women's locker room / Suspect was identified and had possession of the victim's card / Arrested by UCPD / Refer to 19-00193,Theft,Arrest,5530 S. Ellis (Ratner A.C.),2019-01-29,1/29/19 2:08 PM,19-00097,arrested
A set of 7 keys found and turned over to UCPD for safekeeping,Found Property,Closed,5500 S. University (Campus North RH),2019-01-29,1/29/19 3:58 PM,19-00098,closed
Unknown person entered a resident's room and spilled an unknown liquid substance on the seat of a chair,Damage to Property,Open,5500 S. University (Campus North RH),2019-01-27,1/29/19 3:54 PM,19-00099,open
"Jacket, with Ventra card in pocket, taken from back of a chair by unknown person / Unauthorized use of Ventra card reported",Theft,Open,929 E. 57th St. (Gordon Center),2019-01-30,1/30/19 4:13 PM,19-00102,open
A contract employee reports receiving disturbing phone calls from a former co-worker,Information,Closed,1101 E. 56th St. (Max Palevsky RH),2019-01-30,1/31/19 10:16 AM,19-00104,closed
"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,5730 S. Ellis (Crerar Library),2018-09-25,2/1/19 1:39 PM,CSA Report    19-005,referred
Subject had been banned from the off campus property / Store management declined prosecution / Subject transported to UCMED for mental evaluation,Trespass,Ex. Cleared,1554 E. 55th St. (Walgreens),2019-02-01,2/1/19 8:44 PM,19-00107,cleared
An underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Liquor Law Violation,Referred,5800 S. University (Public Way),2019-02-02,2/2/19 12:59 AM,19-00108,referred
Staff member found a small amount of marijuana and turned it over to UCPD for proper disposal,Found Property,Closed,5656 S. Maryland (UCMED),2019-02-02,2/2/19 1:35 AM,19-00109,closed
A water pipe burst due to cold temperatures / CFD and Facilities responded,Information,Closed,5656 S. Maryland (Parking Structure),2019-02-02,2/2/19 1:29 AM,19-00110,closed
A UCPD officer arrested a suspect for possession of cocaine,Possession of Narcotics,Arrest,1400 E. 53rd St. (Alley),2019-02-02,2/2/19 4:54 PM,19-00111,arrested
One victim walking on the sidewalk off campus suffered a gunshot wound to the shoulder / The victim saw an unknown suspect firing in his direction / A second victim sitting in a car off campus suffered a gunshot wound to the back when an unknown suspect walking on the sidewalk fired shots at the victim / CPD case JC138349,Information,CPD,Lake Park between 45th & 46th,2019-02-03,2/3/19 6:00 AM,19-00112,cpd
A driver's license found on the sidewalk off campus was turned over to UCPD for safekeeping,Found Property,Closed,5300 S. Greenwood,2019-02-03,2/3/19 4:49 PM,19-00113,closed
UCPD officer arrested a motorist for DUI,DUI,Arrest,5558 S. Cottage Grove,2019-02-03,2/3/19 9:05 PM,19-00114,arrested
An individual was transported to UCMED for evaluation,Mental Health,Closed,5555 S. Woodlawn (Student Counseling Center),2019-02-04,2/4/19 12:04 PM,19-00115,closed
"Unattended, unsecured backpack containing a MacBook laptop taken from a room",Theft,Open,5640 S. University (Bartlett Commons),2019-02-01,2/4/19 1:24 PM,19-00116,open
"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked on campus by a known individual / Due to confidentiality of reporting, limited information is available regarding this incident",Stalking,No Investigation Referred to Title IX Coordinator,5530 S. Ellis (Ratner A.C.),2018-11-05,2/4/19 1:49 PM,CSA Report    19-007,referred
Student fell in playground and struck head on the ground /Transported to Comer ER by CFD EMS for evaluation and treatment,Injury,Closed,5800 S. Stony Island (Earl Shapiro Hall),2019-02-04,2/4/19 2:30 PM,19-00117,closed
Two family members involved in an argument struck each other / Charges withheld pending further investigation,Battery,Open,800 E. 55th St. (Friend Center),2019-02-04,2/4/19 3:49 PM,19-00118,open
A former employee was advised to leave the building by security,Information,Closed,5800 S. Stony Island (Earl Shapiro Hall),2019-02-04,2/4/19 8:30 AM,19-00119,closed
An individual found a wallet on the sidewalk near a CTA bus stop and turned the property over to UCPD for safekeeping,Found Property,Closed,5300 S. Woodlawn (Public Way),2019-02-04,2/4/19 8:03 PM,19-00120,closed
Unsecured iPhone taken from patient's room,Theft,Open,5841 S. Maryland (Mitchell Hospital),2019-02-02,2/5/19 10:58 AM,19-00121,open
Wallet taken from purse placed on a chair next to the victim in 2nd floor DCAM caf� / Subsequent unauthorized use of debit card reported,Theft,Open,5758 S. Maryland (DCAM),2019-02-05,2/5/19 4:00 PM,19-00122,open
Suspects took an item of clothing from the store and fled / Suspect detained by UCPD and identified by retailer / Complainant declined to press charges / Suspect released,Theft,Ex. Cleared,1506 E. 53rd St. (Retail),2019-02-05,2/5/19 7:19 PM,19-00123,cleared
Individual reports losing an iPhone from his pocket while on the public way between 58th & 59th on S. Ellis,Lost Property,Closed,58th - 59th Ellis,2019-02-06,2/6/19 2:09 PM,19-00125,closed
"An unauthorized subject disregarded previous warnings, both written and oral, not to trespass on UC property / Suspect arrested by UCPD",Trespass,Arrest,5800 S. Greenwood (Main Quad),2019-02-06,2/6/19 3:53 PM,19-00126,arrested
A staff member found a small baggie of marijuana in a conference room / Turned over to UCPD for proper disposal,Found Property,Closed,1452 E. 53rd St. (Polsky Center),2019-02-06,2/6/19 4:32 PM,19-00127,closed
"During the course of an argument, boyfriend choked girlfriend / Suspect fled the scene prior to notification to UCPD",Battery,Open,5815 S. Maryland (Mitchell Hospital),2019-02-06,2/6/19 10:42 PM,19-00128,open
"An individual walking down the front exterior steps of the building, slipped and fell to the pavement injuring his right shoulder / Transported to UCMED for evaluation and treatment",Injury,Closed,1025 E. 58th St. (Swift Hall),2019-02-07,2/7/19 12:30 PM,19-00129,closed
Delayed Report - Victim sitting in his car off campus was approached by an unknown subject who implied he had a weapon (no weapon seen) and demanded property / The suspect took cash and a cell phone from the victim before fleeing on foot / Referred to CPD,Information,Referred,5200 S. Lake Park (Public Way),2019-02-06,2/7/19 12:58 PM,19-00130,referred
Sick person transported to Comer Hospital by CFD EMS for treatment,Medical,Closed,1362 E. 59th St. (Laboratory School),2019-02-07,2/7/19 2:51 PM,19-00131,closed
An unknown motorist was observed driving in a reckless manner on the grassy area between 59th St. and Midway Plaisance / Suspect fled before UCPD was called,Reckless Action,Open,1369 E. 59th St. (Park Property),2019-02-07,2/7/19 4:02 PM,19-00132,open
"Two subjects, one armed with a handgun, took a backpack from a person walking on the sidewalk off campus / CPD case JC144345",Information,CPD,5400 S. Kimbark (Public Way),2019-02-08,2/8/19 12:47 AM,19-00134,cpd
A messenger bag was taken from the rear seat of an unsecured car parked on the street,Theft,Open,5610 S. University (Public Way),2019-02-08,2/8/19 10:00 AM,19-00135,open
An unauthorized individual was observed in the building / Subject left before UCPD was notified,Information,Closed,5706 S. University (Reynolds Club),2019-02-06,2/8/19 11:16 AM,19-00136,closed
"Wallet taken from an unattended, unsecured backpack left in student lounge",Theft,Open,1101 E. 56th St. (Max Palevsky RH),2019-02-07,2/8/19 2:15 PM,19-00137,open
An underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Liquor Law Violation,Referred,6031 S. Ellis (Granville-Grossman RH),2019-02-08,2/8/19 11:28 PM,19-00138,referred
Individual was transported to UCMED for evaluation,Mental Health,Closed,1005 E. 60th St. (Burton-Judson RH),2019-02-09,2/9/19 2:59 AM,19-00139,closed
Unknown person(s) entered off campus private apartment and took computers and other electronics / CPD case JC146679,Information,CPD,"61st St, between Ingleside & Ellis",2019-02-09,2/9/19 10:09 PM,19-00140,cpd
Contract employee fell on slippery sidewalk and injured his right ankle / Transported to UCMED by CFD EMS for treatment,Injury,Closed,5630 S. University (Public Way),2019-02-10,2/10/19 5:04 PM,19-00141,closed
Unknown person(s) entered off campus private apartment while resident was away and took property / CPD case,Information,CPD,Drexel between 61st & 62nd,2019-02-10,2/10/19 7:38 PM,19-00142,cpd
Staff member found a wallet and turned it over to UCPD / Owner contacted,Found Property,Closed,5811 S. Ellis (Cobb Hall),2019-02-10,2/11/19 8:30 AM,19-00143,closed
"Unattended, unsecured purse taken from closet in patient's room",Theft,Open,5700 S. Maryland (CCD),2019-02-07,2/11/19 9:33 AM,19-00144,open
UCPD officers assisted CPD in apprehending 5 suspects wanted by CPD for a robbery committed off campus on 119th St. / CPD cases JC148171 and JC148222,Assist Other Agency,CPD,1201 E. Midway Pl. (Public Way),2019-02-11,2/11/19 11:45 AM,19-00147,cpd
A staff member injured her finger while securing a metal grate / Transported to UCMED for treatment,Injury,Closed,5853 S. University,2019-02-11,2/11/19 2:02 PM,19-00145,closed
Two individuals involved in a loud argument / Peace restored,Information,Closed,5700 S. Maryland (CCD),2019-02-11,2/11/19 12:44 PM,19-00146,closed
An individual reports losing a cell phone while walking on campus,Lost Property,Closed,Between 57th & Drexel & 57th & University,2019-02-11,2/11/19 3:35 PM,19-00148,closed
Information relating to 2 suspicious persons seen in the building,Information,Closed,5757 S. University (Saieh Hall),2019-02-11,2/11/19 3:58 PM,19-00149,closed
"Individual slipped on icy walkway, fell injuring right shoulder / Transported to UCMED by CFD EMS for treatment",Injury,Closed,6031 S. Ellis (Walkway),2019-02-12,2/12/19 1:01 AM,19-00151,closed
Number generated in error,VOID,VOID,VOID,NA,VOID,19-00152,void
Information of suspicious behavior of a known individual / Handled internally,Information,Closed,5840 S. Kenwood (Lab School),2019-02-12,2/12/19 11:03 AM,19-00153,closed
Disturbance with patient who refused additional treatment and left hospital against medical advice,Information,Closed,5700 S. Maryland (CCD),2019-02-12,2/12/19 12:07 PM,19-00154,closed
Two laptops taken from unsecured office,Theft,Open,5640 S. Ellis (Eckhardt Research),2019-02-12,2/12/19 3:17 PM,19-00155,open
Number generated in error,VOID,VOID,VOID,NA,VOID,19-00156,void
"In a dispute between two fraternities, a plastic owl was snatched from the hand of a person walking on the sidewalk and suspect fled / Subsequent to investigation the owl was returned and prosecution was declined",Theft,Ex. Cleared,5640 S. University (Public Way),2019-02-12,2/12/19 8:43 PM,19-00157,cleared
A subject took several items of merchandise from a store without paying / Suspect struck a store employee who tried to detain him / UCPD officer chased the suspect on foot and took him into custody / Charged with theft and battery,Theft,Arrest,1346 E. 53rd St.,2019-02-13,2/13/19 4:48 PM,19-00158,arrested
Underage individual became ill after consuming alcoholic beverages / Transported to UCMED by CFD EMS for evaluation and treatment,Liquor Law Violation,Referred,6031 S. Ellis (Granville-Grossman RH),2019-02-14,2/14/19 2:43 AM,19-00159,referred
A disturbed patient smashed a UCM owned telephone / Prosecution declined,Damage to Property,Ex. Cleared,5656 S. Maryland (UCMED),2019-02-14,2/14/19 7:15 AM,19-00160,cleared
Unauthorized individual found sleeping in an elevator in the parking structure / Subject given a trespass warning and declined an offer of transport to a shelter,Trespass,Closed,5505 S. Ellis (Parking Structure),2019-02-14,2/14/19 8:58 AM,19-00161,closed
Physician advised of forged prescriptions from pharmacies outside of the area / Physician reported forgeries to US DEA,Information,Closed,5841 S. Maryland (UCM),2019-02-14,2/14/19 10:34 AM,19-00162,closed
Information relating to a disturbing Face Book post,Information,Closed,50th Pl. between Cornell & East End,2019-02-14,2/14/19 2:23 PM,19-00163,closed
